name,latitude,longitude,date_of_occurrence
SEX OFFENSE,41.879243499,-87.69735447,2024-07-14T14:00:00.000
CRIMINAL DAMAGE,41.775598793,-87.747061962,2024-07-14T14:00:00.000
OTHER OFFENSE,41.770261694,-87.73230063,2024-07-14T14:00:00.000
THEFT,41.90619481,-87.733062513,2024-07-14T14:00:00.000
BATTERY,42.014622623,-87.683897196,2024-07-14T14:05:00.000
THEFT,41.960689584,-87.654718906,2024-07-14T14:09:00.000
MOTOR VEHICLE THEFT,41.969724238,-87.657634674,2024-07-14T14:10:00.000
ASSAULT,42.018715709,-87.673098745,2024-07-14T14:27:00.000
ARSON,41.771431667,-87.682111024,2024-07-14T14:28:00.000
THEFT,41.840921662,-87.640256897,2024-07-14T14:30:00.000
THEFT,41.812610526,-87.723765071,2024-07-14T14:30:00.000
ROBBERY,41.891803491,-87.762010134,2024-07-14T14:30:00.000
ROBBERY,41.943760943,-87.745336462,2024-07-14T14:30:00.000
THEFT,41.781596377,-87.731391836,2024-07-14T14:30:00.000
THEFT,41.882394062,-87.627844798,2024-07-14T14:30:00.000
BATTERY,41.880978818,-87.705507783,2024-07-14T14:31:00.000
OTHER OFFENSE,41.768760249,-87.588841537,2024-07-14T14:37:00.000
ASSAULT,41.972359593,-87.728142793,2024-07-14T14:40:00.000
BATTERY,41.959524927,-87.770770045,2024-07-14T14:45:00.000
THEFT,41.855740782,-87.726083018,2024-07-14T14:46:00.000
BATTERY,41.884747813,-87.742976709,2024-07-14T14:47:00.000
OTHER OFFENSE,41.750459095,-87.656366029,2024-07-14T14:47:00.000
THEFT,41.778340981,-87.703122242,2024-07-14T14:49:00.000
THEFT,41.930771013,-87.756396258,2024-07-14T14:50:00.000
CRIMINAL DAMAGE,41.900524424,-87.70671587,2024-07-14T14:51:00.000
THEFT,41.841622651,-87.617191438,2024-07-14T14:55:00.000
CRIMINAL DAMAGE,41.941572291,-87.665290566,2024-07-14T14:56:00.000
NARCOTICS,41.968913261,-87.666777377,2024-07-14T14:58:00.000
DECEPTIVE PRACTICE,41.820497972,-87.68475084,2024-07-14T15:00:00.000
THEFT,41.778055088,-87.610749912,2024-07-14T15:00:00.000
MOTOR VEHICLE THEFT,41.758938155,-87.570808838,2024-07-14T15:00:00.000
THEFT,42.014951601,-87.668975781,2024-07-14T15:00:00.000
THEFT,41.764375325,-87.572159335,2024-07-14T15:00:00.000
BATTERY,41.756007313,-87.650670947,2024-07-14T15:00:00.000
THEFT,41.975559264,-87.654987667,2024-07-14T15:00:00.000
MOTOR VEHICLE THEFT,41.66801033,-87.639175664,2024-07-14T15:00:00.000
ASSAULT,41.772854092,-87.588742874,2024-07-14T15:00:00.000
BATTERY,41.921014145,-87.710987232,2024-07-14T15:00:00.000
CRIMINAL DAMAGE,41.995149568,-87.80232505,2024-07-14T15:00:00.000
CRIMINAL TRESPASS,41.801131542,-87.61772683,2024-07-14T15:00:00.000
ROBBERY,41.972188629,-87.795212519,2024-07-14T15:01:00.000
HOMICIDE,41.968303254,-87.722367603,2024-07-14T15:04:00.000
ASSAULT,41.931959311,-87.713236564,2024-07-14T15:10:00.000
BATTERY,41.761828773,-87.627638584,2024-07-14T15:11:00.000
WEAPONS VIOLATION,41.71965216,-87.642653076,2024-07-14T15:15:00.000
THEFT,41.936539155,-87.642982415,2024-07-14T15:16:00.000
BATTERY,41.883343752,-87.615036482,2024-07-14T15:18:00.000
THEFT,41.885191719,-87.624486846,2024-07-14T15:30:00.000
THEFT,41.830890037,-87.635503335,2024-07-14T15:30:00.000
MOTOR VEHICLE THEFT,41.953262971,-87.665819201,2024-07-14T15:30:00.000
CRIMINAL DAMAGE,41.974861952,-87.890372151,2024-07-14T15:30:00.000
THEFT,41.909289945,-87.647258453,2024-07-14T15:33:00.000
CRIMINAL DAMAGE,41.881895543,-87.638349075,2024-07-14T15:35:00.000
OTHER OFFENSE,41.938438493,-87.776994169,2024-07-14T15:38:00.000
THEFT,41.920543756,-87.648592978,2024-07-14T15:40:00.000
OTHER OFFENSE,41.955472204,-87.728232736,2024-07-14T15:41:00.000
BATTERY,41.934067729,-87.645912462,2024-07-14T15:51:00.000
CRIMINAL DAMAGE,41.902576214,-87.732214795,2024-07-14T15:51:00.000
BATTERY,41.754271409,-87.605277502,2024-07-14T15:52:00.000
ASSAULT,41.682624929,-87.631206385,2024-07-14T15:55:00.000
BATTERY,41.772744066,-87.574029014,2024-07-14T15:56:00.000
BATTERY,41.759036773,-87.633298885,2024-07-14T15:57:00.000
THEFT,41.891694878,-87.626155832,2024-07-14T15:58:00.000
ASSAULT,41.881915753,-87.736605806,2024-07-14T16:00:00.000
ROBBERY,41.896090735,-87.717554189,2024-07-14T16:00:00.000
BATTERY,41.740848563,-87.655906366,2024-07-14T16:00:00.000
BURGLARY,41.784333247,-87.709425156,2024-07-14T16:00:00.000
THEFT,41.878962554,-87.688801432,2024-07-14T16:00:00.000
THEFT,41.866260623,-87.71855276,2024-07-14T16:00:00.000
