STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,GREEN,BROWN,PURPLE,PURPLE EXPRESS,Y,PINK,ORANGE,Location,latitude,longitude
30234,S,Fullerton (95th-bound),Fullerton,"Fullerton (Red, Brown & Purple lines)",41220,True,True,False,False,False,False,False,False,False,False,"(41.925051, -87.652866)",41.925051,-87.652866
30209,N,47th (Harlem-bound),47th,47th (Green Line),41080,True,False,False,True,False,False,False,False,False,False,"(41.809209, -87.618826)",41.809209,-87.618826
30243,E,Austin (63rd-bound),Austin,Austin (Green Line),41260,False,False,False,True,False,False,False,False,False,False,"(41.887293, -87.774135)",41.887293,-87.774135
30148,S,Granville (95th-bound),Granville,Granville (Red Line),40760,True,True,False,False,False,False,False,False,False,False,"(41.993664, -87.659202)",41.993664,-87.659202
30207,E,Kedzie (63rd-bound),Kedzie,Kedzie (Green Line),41070,True,False,False,True,False,False,False,False,False,False,"(41.884321, -87.706155)",41.884321,-87.706155
30055,W,Central (Harlem-bound),Central,Central (Green Line),40280,True,False,False,True,False,False,False,False,False,False,"(41.887389, -87.76565)",41.887389,-87.76565
30274,S,Addison (95th-bound),Addison,Addison (Red Line),41420,True,True,False,False,False,False,False,False,False,False,"(41.947428, -87.653626)",41.947428,-87.653626
30298,S,Oakton-Skokie (Howard-bound),Oakton-Skokie,Oakton-Skokie (Yellow Line),41680,True,False,False,False,False,False,False,True,False,False,"(42.02624348, -87.74722084)",42.02624348,-87.74722084
30109,N,Jackson/State (Howard-bound),Jackson,Jackson (Red Line),40560,True,True,False,False,False,False,False,False,False,False,"(41.878153, -87.627596)",41.878153,-87.627596
30185,N,Pulaski (Loop-bound),Pulaski,Pulaski (Orange Line),40960,True,False,False,False,False,False,False,False,False,True,"(41.799756, -87.724493)",41.799756,-87.724493
30067,S,Berwyn (95th-bound),Berwyn,Berwyn (Red Line),40340,True,True,False,False,False,False,False,False,False,False,"(41.977984, -87.658668)",41.977984,-87.658668
30104,S,Diversey (Loop-bound),Diversey,Diversey (Brown & Purple lines),40530,True,False,False,False,True,False,True,False,False,False,"(41.932732, -87.653131)",41.932732,-87.653131
30073,S,Washington (Forest Pk-bound),Washington,Washington (Blue Line),40370,False,False,True,False,False,False,False,False,False,False,"(41.883164, -87.62944)",41.883164,-87.62944
30042,E,Western (Forest Pk Branch) (O'Hare-bound),Western,Western (Blue Line - Forest Park Branch),40220,False,False,True,False,False,False,False,False,False,False,"(41.875478, -87.688436)",41.875478,-87.688436
30029,W,Pulaski (54th/Cermak-bound),Pulaski,Pulaski (Pink Line),40150,True,False,False,False,False,False,False,False,True,False,"(41.853732, -87.724311)",41.853732,-87.724311
30221,E,Clinton (Loop-63rd-bound),Clinton,Clinton (Green & Pink lines),41160,True,False,False,True,False,False,False,False,True,False,"(41.885678, -87.641782)",41.885678,-87.641782
30150,S,Lawrence (95th-bound),Lawrence,Lawrence (Red Line),40770,True,True,False,False,False,False,False,False,False,False,"(41.969139, -87.658493)",41.969139,-87.658493
30033,W,Ashland (Harlem-54th/Cermak-bound),Ashland,Ashland (Green & Pink lines),40170,True,False,False,True,False,False,False,False,True,False,"(41.885269, -87.666969)",41.885269,-87.666969
30102,S,Foster (Howard-Loop-bound),Foster,Foster (Purple Line),40520,False,False,False,False,False,True,True,False,False,False,"(42.05416, -87.68356)",42.05416,-87.68356
30001,E,Austin (O'Hare-bound),Austin,Austin (Blue Line),40010,False,False,True,False,False,False,False,False,False,False,"(41.870851, -87.776812)",41.870851,-87.776812
30093,W,Racine (Forest Pk-bound),Racine,Racine (Blue Line),40470,False,False,True,False,False,False,False,False,False,False,"(41.87592, -87.659458)",41.87592,-87.659458
30228,S,Jarvis (95th-bound),Jarvis,Jarvis (Red Line),41190,False,True,False,False,False,False,False,False,False,False,"(42.015876, -87.669092)",42.015876,-87.669092
30275,N,87th (Howard-bound),87th,87th (Red Line),41430,True,True,False,False,False,False,False,False,False,False,"(41.735372, -87.624717)",41.735372,-87.624717
